"pathway","geneProduct","ensembl"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFS2","https://identifiers.org/ensembl/ENSG00000158864"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFS3","https://identifiers.org/ensembl/ENSG00000213619"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFV1","https://identifiers.org/ensembl/ENSG00000167792"
"https://identifiers.org/wikipathways/WP623_r107189","CI-51kD","https://identifiers.org/ensembl/ENSG00000167792"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFS4","https://identifiers.org/ensembl/ENSG00000164258"
"https://identifiers.org/wikipathways/WP623_r107189","AQDQ","https://identifiers.org/ensembl/ENSG00000164258"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFS5","https://identifiers.org/ensembl/ENSG00000168653"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFS6","https://identifiers.org/ensembl/ENSG00000145494"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFS8","https://identifiers.org/ensembl/ENSG00000110717"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFV2","https://identifiers.org/ensembl/ENSG00000178127"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFV3","https://identifiers.org/ensembl/ENSG00000160194"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5A1","https://identifiers.org/ensembl/ENSG00000152234"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5B","https://identifiers.org/ensembl/ENSG00000110955"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5D","https://identifiers.org/ensembl/ENSG00000099624"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5E","https://identifiers.org/ensembl/ENSG00000124172"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5F1","https://identifiers.org/ensembl/ENSG00000116459"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5G1","https://identifiers.org/ensembl/ENSG00000159199"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5G2","https://identifiers.org/ensembl/ENSG00000135390"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5G3","https://identifiers.org/ensembl/ENSG00000154518"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5I","https://identifiers.org/ensembl/ENSG00000169020"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5J","https://identifiers.org/ensembl/ENSG00000154723"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5O","https://identifiers.org/ensembl/ENSG00000241837"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5J2","https://identifiers.org/ensembl/ENSG00000241468"
